Country or Area,Year,Value,Value Footnotes,Unit
Norway,2015,13123,5,million cubic metres
Norway,2014,10703,5,million cubic metres
Norway,2013,10139,11,million cubic metres
Norway,2012,13769,5,million cubic metres
Norway,2011,13027,5,million cubic metres
Norway,2010,12379,5,million cubic metres
Norway,2009,11383,5,million cubic metres
Norway,2008,12315,5,million cubic metres
Norway,2007,12881,5,million cubic metres
Norway,2006,10788,5,million cubic metres
Norway,2005,14998,5,million cubic metres
Norway,2004,10549.5,,million cubic metres
Norway,2003,9124.7998046875,,million cubic metres
Norway,2002,10429.2998046875,,million cubic metres
Norway,2001,11997.099609375,,million cubic metres
Norway,2000,16247.7001953125,,million cubic metres
Norway,1999,14690,,million cubic metres
Norway,1998,14632,,million cubic metres
Norway,1997,13094,,million cubic metres
Norway,1996,13055,,million cubic metres
Norway,1995,12664.7998046875,,million cubic metres
Panama,2015,0,,million cubic metres
Panama,2014,0,,million cubic metres
Panama,2013,0,,million cubic metres
Panama,2012,0,,million cubic metres
Panama,2011,0,,million cubic metres
Panama,2010,0,,million cubic metres
Panama,2009,0,,million cubic metres
Panama,2008,0,,million cubic metres
Panama,2007,0,,million cubic metres
Panama,2006,0,,million cubic metres
Panama,2005,0,,million cubic metres
Panama,2004,0,,million cubic metres
Panama,2003,0,,million cubic metres
Panama,2002,0,,million cubic metres
Panama,2001,0,,million cubic metres
Panama,2000,0,,million cubic metres
Panama,1990,0,,million cubic metres
Poland,2015,4770,,million cubic metres
Poland,2014,6620.39990234375,,million cubic metres
Poland,2013,9349.7001953125,,million cubic metres
Poland,2012,5994.7001953125,,million cubic metres
Poland,2011,9740.099609375,,million cubic metres
Poland,2010,13326.099609375,,million cubic metres
Poland,2009,8489.2001953125,,million cubic metres
Poland,2008,7755.10009765625,,million cubic metres
Poland,2007,7293.10009765625,,million cubic metres
Poland,2006,7849.10009765625,,million cubic metres
Poland,2005,7946.2001953125,,million cubic metres
Poland,2004,5954.39990234375,,million cubic metres
Poland,2003,5862.60009765625,,million cubic metres
Poland,2002,8118.39990234375,,million cubic metres
Poland,2001,8958.900390625,,million cubic metres
Poland,2000,9102.099609375,,million cubic metres
Poland,1999,9882.900390625,,million cubic metres
Poland,1998,9692.7998046875,,million cubic metres
Poland,1997,8497.7001953125,,million cubic metres
Poland,1996,7836.5,,million cubic metres
Poland,1995,7227.39990234375,,million cubic metres
Poland,1994,6438,,million cubic metres
Poland,1993,6308.5,,million cubic metres
Poland,1992,6049.7998046875,,million cubic metres
Poland,1991,6337.2001953125,,million cubic metres
Poland,1990,5029.7001953125,,million cubic metres
Portugal,2011,21349.5,,million cubic metres
Portugal,2010,37829,,million cubic metres
Portugal,2009,12621,,million cubic metres
Portugal,2008,12751,,million cubic metres
Portugal,2007,17945.30078125,,million cubic metres
Portugal,2006,7514.10009765625,,million cubic metres
Portugal,2005,6519,,million cubic metres
Portugal,2004,17477,,million cubic metres
Portugal,2003,22419,,million cubic metres
Portugal,2000,9161,,million cubic metres
Portugal,1995,9436,,million cubic metres
Qatar,2011,2.20000004768372,12,million cubic metres
Qatar,2010,2.20000004768372,12,million cubic metres
Qatar,2009,2.20000004768372,12,million cubic metres
Qatar,2008,2.20000004768372,12,million cubic metres
Qatar,2007,2.20000004768372,12,million cubic metres
Qatar,2006,2.20000004768372,12,million cubic metres
Qatar,2005,2.20000004768372,12,million cubic metres
Qatar,2004,2.20000004768372,12,million cubic metres
Qatar,2003,2.20000004768372,12,million cubic metres
Qatar,2002,2.20000004768372,12,million cubic metres
Qatar,2001,2.20000004768372,12,million cubic metres
Republic of Moldova,2015,8790,13,million cubic metres
Republic of Moldova,2014,10820,13,million cubic metres
Republic of Moldova,2013,11120,13,million cubic metres
Republic of Moldova,2012,8265,13,million cubic metres
Republic of Moldova,2011,10194,13,million cubic metres
Republic of Moldova,2010,18110,13,million cubic metres
Republic of Moldova,2009,11540,13,million cubic metres
Republic of Moldova,2008,16270,13,million cubic metres
Republic of Moldova,2007,11050,13,million cubic metres
Republic of Moldova,2006,15400,13,million cubic metres
Republic of Moldova,2005,12960,13,million cubic metres
Republic of Moldova,2004,9740,13,million cubic metres
Republic of Moldova,2003,8730,13,million cubic metres
Republic of Moldova,2002,13470,13,million cubic metres
Republic of Moldova,2001,13920,13,million cubic metres
Republic of Moldova,2000,9500,13,million cubic metres
Republic of Moldova,1999,14220,13,million cubic metres
Republic of Moldova,1998,16800,13,million cubic metres
Republic of Moldova,1997,12570,13,million cubic metres
Republic of Moldova,1996,12480,13,million cubic metres
Republic of Moldova,1995,8560,13,million cubic metres
Republic of Moldova,1990,6290,13,million cubic metres
Romania,2015,168,,million cubic metres
Romania,2014,222,,million cubic metres
Romania,2013,230,,million cubic metres
Romania,2012,142,,million cubic metres
Romania,2011,222,,million cubic metres
Romania,2010,593,,million cubic metres
Romania,2009,249,,million cubic metres
Romania,2008,559,,million cubic metres
Romania,2007,255,,million cubic metres
Romania,2006,505,,million cubic metres
Romania,2005,460,,million cubic metres
Romania,2004,250,,million cubic metres
Romania,2003,1654,,million cubic metres
Romania,2002,2878,,million cubic metres
Romania,2001,3282,,million cubic metres
Romania,2000,2269,,million cubic metres
Romania,1999,3670,,million cubic metres
Romania,1998,4483,,million cubic metres
Romania,1997,3332,,million cubic metres
Romania,1996,3198,,million cubic metres
Romania,1995,2492,,million cubic metres
Romania,1994,1561,,million cubic metres
Romania,1993,2101,,million cubic metres
Romania,1992,2133,,million cubic metres
Romania,1991,3316,,million cubic metres
Romania,1990,932,,million cubic metres
Russian Federation,2013,283800,,million cubic metres
Russian Federation,2012,175100,,million cubic metres
Russian Federation,2011,160400,,million cubic metres
Russian Federation,2010,212300,,million cubic metres
Russian Federation,2009,218600,,million cubic metres
Russian Federation,2008,164800,,million cubic metres
Russian Federation,2007,190000,,million cubic metres
Russian Federation,2006,183200,,million cubic metres
Russian Federation,2005,191900,,million cubic metres
Russian Federation,2004,191000,,million cubic metres
Russian Federation,2003,193500,,million cubic metres
Russian Federation,2002,153200,,million cubic metres
Russian Federation,2001,175500,,million cubic metres
Russian Federation,2000,158600,,million cubic metres
Russian Federation,1999,185900,,million cubic metres
Russian Federation,1998,245500,,million cubic metres
Russian Federation,1997,205500,,million cubic metres
Russian Federation,1996,184000,,million cubic metres
Russian Federation,1995,240300,,million cubic metres
Saint Kitts and Nevis,2012,0,,million cubic metres
Saint Kitts and Nevis,2011,0,,million cubic metres
Saint Kitts and Nevis,2010,0,,million cubic metres
Saint Kitts and Nevis,2009,0,,million cubic metres
Saint Kitts and Nevis,2008,0,,million cubic metres
Saint Kitts and Nevis,2007,0,,million cubic metres
Saint Kitts and Nevis,2006,0,,million cubic metres
Saint Kitts and Nevis,2005,0,,million cubic metres
Saint Kitts and Nevis,2004,0,,million cubic metres
Saint Kitts and Nevis,2003,0,,million cubic metres
Saint Kitts and Nevis,2002,0,,million cubic metres
Saint Kitts and Nevis,2001,0,,million cubic metres
Saint Kitts and Nevis,2000,0,,million cubic metres
Saint Kitts and Nevis,1999,0,,million cubic metres
Saint Kitts and Nevis,1997,0,,million cubic metres
Saint Kitts and Nevis,1996,0,,million cubic metres
Saint Kitts and Nevis,1995,0,,million cubic metres
Saint Kitts and Nevis,1990,0,,million cubic metres
Serbia,2015,154540.21875,,million cubic metres
Serbia,2014,190588.59375,,million cubic metres
Serbia,2013,195547,,million cubic metres
Serbia,2012,140634,,million cubic metres
Serbia,2011,126376,,million cubic metres
Serbia,2010,240316,,million cubic metres
Serbia,2009,169130,,million cubic metres
Serbia,2008,153816,,million cubic metres
Serbia,2007,149615.8125,,million cubic metres
Serbia,2006,202577.1875,,million cubic metres
Serbia,2005,193200.34375,,million cubic metres
Serbia,2004,163340,,million cubic metres
Serbia,2003,113659,,million cubic metres
Serbia,2002,171147,,million cubic metres
Serbia,2001,163178,,million cubic metres
Serbia,2000,154973,,million cubic metres
Serbia,1999,183351,,million cubic metres
Serbia,1998,167273,,million cubic metres
Serbia,1997,163343,,million cubic metres
Serbia,1996,185833,,million cubic metres
Serbia,1995,173644,,million cubic metres
Serbia,1990,106982,,million cubic metres
Singapore,2015,0,,million cubic metres
Singapore,2014,0,,million cubic metres
Singapore,2013,0,,million cubic metres
Singapore,2012,0,,million cubic metres
Singapore,2011,0,,million cubic metres
Singapore,2010,0,,million cubic metres
Singapore,2009,0,,million cubic metres
Singapore,2008,0,,million cubic metres
Singapore,2007,0,,million cubic metres
Singapore,2006,0,,million cubic metres
Singapore,2005,0,,million cubic metres
Singapore,2004,0,,million cubic metres
Singapore,2003,0,,million cubic metres
Singapore,2002,0,,million cubic metres
Singapore,2001,0,,million cubic metres
Singapore,2000,0,,million cubic metres
Singapore,1999,0,,million cubic metres
Singapore,1998,0,,million cubic metres
Singapore,1997,0,,million cubic metres
Singapore,1996,0,,million cubic metres
Singapore,1995,0,,million cubic metres
Singapore,1990,0,,million cubic metres
Slovakia,2015,55052.1015625,,million cubic metres
Slovakia,2014,58209,,million cubic metres
Slovakia,2013,78392,,million cubic metres
Slovakia,2012,68875.203125,,million cubic metres
Slovakia,2011,55558.8984375,,million cubic metres
Slovakia,2010,71105.3984375,,million cubic metres
Slovakia,2009,71767,,million cubic metres
Slovakia,2008,69005,,million cubic metres
Slovakia,2007,71711,,million cubic metres
Slovakia,2006,63519,,million cubic metres
Slovakia,2005,69806,,million cubic metres
Slovakia,2004,61182,,million cubic metres
Slovakia,2003,52626,,million cubic metres
Slovakia,2002,85382,,million cubic metres
Slovakia,2001,76830,,million cubic metres
Slovakia,2000,77999,,million cubic metres
Slovakia,1999,77188,,million cubic metres
Slovakia,1998,64251,,million cubic metres
Slovakia,1997,66492,,million cubic metres
Slovakia,1996,65465,,million cubic metres
Slovakia,1995,74711,,million cubic metres
Slovakia,1994,61022,,million cubic metres
Slovakia,1993,62027,,million cubic metres
Slovakia,1992,63227,,million cubic metres
Slovakia,1991,58000,,million cubic metres
Slovakia,1990,55773,,million cubic metres
Slovenia,2014,21120,,million cubic metres
Slovenia,2012,15989,,million cubic metres
Slovenia,2011,11980.400390625,,million cubic metres
Slovenia,2010,15047.2001953125,,million cubic metres
Slovenia,2009,17907,,million cubic metres
Slovenia,2008,12924,,million cubic metres
Slovenia,2007,11577,,million cubic metres
Slovenia,2006,13009,,million cubic metres
Slovenia,2005,12843.400390625,,million cubic metres
Slovenia,2004,13118,,million cubic metres
Slovenia,2003,9196.7998046875,,million cubic metres
Slovenia,2002,11419.2001953125,,million cubic metres
Slovenia,2001,11456.400390625,,million cubic metres
Slovenia,2000,14172.599609375,,million cubic metres
Slovenia,1999,13746.900390625,,million cubic metres
Slovenia,1998,12249.7998046875,,million cubic metres
Slovenia,1997,11611.2001953125,,million cubic metres
Slovenia,1996,14674.2998046875,,million cubic metres
Slovenia,1995,11619.400390625,,million cubic metres
Slovenia,1994,12001.7001953125,,million cubic metres
Slovenia,1993,12629.5,,million cubic metres
Slovenia,1992,13515.7001953125,,million cubic metres
Slovenia,1991,14359,,million cubic metres
Slovenia,1990,11349.5,,million cubic metres
South Africa,2000,5260,,million cubic metres
Spain,2015,0,,million cubic metres
Spain,2013,0,,million cubic metres
Spain,2012,0,,million cubic metres
Spain,2011,0,,million cubic metres
Spain,2010,0,,million cubic metres
Spain,2009,0,,million cubic metres
Spain,2008,0,,million cubic metres
Spain,2007,0,,million cubic metres
Spain,2006,0,,million cubic metres
Spain,2005,0,,million cubic metres
Spain,2004,0,,million cubic metres
Spain,2003,0,,million cubic metres
Spain,2002,0,,million cubic metres
Spain,2001,0,,million cubic metres
Spain,2000,0,,million cubic metres
Spain,1999,0,,million cubic metres
Spain,1998,0,,million cubic metres
Spain,1997,0,,million cubic metres
Spain,1996,0,,million cubic metres
Spain,1995,0,,million cubic metres
Spain,1994,0,,million cubic metres
Spain,1993,0,,million cubic metres
Spain,1992,0,,million cubic metres
Spain,1991,0,,million cubic metres
Spain,1990,0,,million cubic metres
Sweden,2015,16368,,million cubic metres
Sweden,2014,13772,,million cubic metres
Sweden,2013,12121,,million cubic metres
Sweden,2012,15260,,million cubic metres
Sweden,2011,14715,,million cubic metres
Sweden,2010,11600,,million cubic metres
Sweden,2009,12502,,million cubic metres
Sweden,2008,14180,,million cubic metres
Sweden,2007,14275,,million cubic metres
Sweden,2006,11888,,million cubic metres
Sweden,2005,15618,,million cubic metres
Sweden,2004,13261,,million cubic metres
Sweden,2003,10720,,million cubic metres
Sweden,2002,11208,,million cubic metres
Sweden,2001,14005,,million cubic metres
Sweden,2000,18029,,million cubic metres
Sweden,1995,14780,,million cubic metres
Sweden,1990,13130,,million cubic metres
Switzerland,2015,11000,,million cubic metres
Switzerland,2014,11729,,million cubic metres
Switzerland,2013,15874,,million cubic metres
Switzerland,2012,10513,,million cubic metres
Switzerland,2011,8823,,million cubic metres
Switzerland,2010,10344,,million cubic metres
Switzerland,2009,9807,,million cubic metres
Switzerland,2008,11089,,million cubic metres
Switzerland,2007,12158,,million cubic metres
Switzerland,2006,12403,,million cubic metres
Switzerland,2005,10562,,million cubic metres
Switzerland,2004,9972,,million cubic metres
Switzerland,2003,12115,,million cubic metres
Switzerland,2002,11849,,million cubic metres
Switzerland,2001,15490,,million cubic metres
Switzerland,2000,14064,,million cubic metres
Switzerland,1999,15446.2998046875,,million cubic metres
Switzerland,1998,8608.7001953125,,million cubic metres
Switzerland,1997,11312.099609375,,million cubic metres
Switzerland,1996,8713.7001953125,,million cubic metres
Switzerland,1995,16965,,million cubic metres
Switzerland,1994,14438.2001953125,,million cubic metres
Switzerland,1993,12470.2998046875,,million cubic metres
Switzerland,1992,10218.2001953125,,million cubic metres
Switzerland,1991,9532,,million cubic metres
Switzerland,1990,10010,,million cubic metres
Syrian Arab Republic,2007,9734,,million cubic metres
Syrian Arab Republic,2006,10331,,million cubic metres
Syrian Arab Republic,2005,9764,,million cubic metres
Syrian Arab Republic,2004,8147,,million cubic metres
Syrian Arab Republic,2003,11270,,million cubic metres
Syrian Arab Republic,2002,7772,,million cubic metres
Syrian Arab Republic,2001,6972,,million cubic metres
Syrian Arab Republic,2000,6062,,million cubic metres
The former Yugoslav Republic of Macedonia,2004,853,14,million cubic metres
The former Yugoslav Republic of Macedonia,2003,811,14,million cubic metres
The former Yugoslav Republic of Macedonia,2002,763,14,million cubic metres
The former Yugoslav Republic of Macedonia,2001,351,14,million cubic metres
The former Yugoslav Republic of Macedonia,2000,670,14,million cubic metres
The former Yugoslav Republic of Macedonia,1999,937,14,million cubic metres
The former Yugoslav Republic of Macedonia,1995,718,14,million cubic metres
The former Yugoslav Republic of Macedonia,1990,432,14,million cubic metres
Togo,2007,3000,,million cubic metres
Togo,2006,3000,,million cubic metres
Togo,2005,3000,,million cubic metres
Togo,2004,3000,,million cubic metres
Togo,2003,3000,,million cubic metres
Togo,2002,3000,,million cubic metres
Togo,2001,3000,,million cubic metres
Togo,2000,3000,,million cubic metres
Togo,1999,3000,,million cubic metres
Togo,1998,3000,,million cubic metres
Togo,1997,3000,,million cubic metres
Togo,1996,3000,,million cubic metres
Togo,1995,3000,,million cubic metres
Togo,1990,3000,,million cubic metres
Turkey,2015,6900,,million cubic metres
Turkey,2014,6900,,million cubic metres
Turkey,2013,6900,,million cubic metres
United Kingdom of Great Britain and Northern Ireland,2009,7231,,million cubic metres
United Kingdom of Great Britain and Northern Ireland,2008,8830,,million cubic metres
United Kingdom of Great Britain and Northern Ireland,2007,5838,,million cubic metres
United Kingdom of Great Britain and Northern Ireland,2006,5753,,million cubic metres
United Kingdom of Great Britain and Northern Ireland,2005,5898.2998046875,,million cubic metres
United Kingdom of Great Britain and Northern Ireland,2004,6015.5,,million cubic metres
United Kingdom of Great Britain and Northern Ireland,2003,4051.80004882813,,million cubic metres
United Kingdom of Great Britain and Northern Ireland,2002,8048.2001953125,,million cubic metres
United Kingdom of Great Britain and Northern Ireland,2001,5126.5,,million cubic metres
United Kingdom of Great Britain and Northern Ireland,2000,7747.39990234375,,million cubic metres
United Kingdom of Great Britain and Northern Ireland,1999,3192.10009765625,,million cubic metres
United Kingdom of Great Britain and Northern Ireland,1998,3218.60009765625,,million cubic metres
United Kingdom of Great Britain and Northern Ireland,1997,2174.10009765625,,million cubic metres
United Kingdom of Great Britain and Northern Ireland,1996,2599.80004882813,,million cubic metres
United Kingdom of Great Britain and Northern Ireland,1995,5468,,million cubic metres
United Kingdom of Great Britain and Northern Ireland,1994,3100.30004882813,,million cubic metres
United Kingdom of Great Britain and Northern Ireland,1993,2834.5,,million cubic metres
United Kingdom of Great Britain and Northern Ireland,1992,2960.30004882813,,million cubic metres
United Kingdom of Great Britain and Northern Ireland,1991,2526,,million cubic metres
United Kingdom of Great Britain and Northern Ireland,1990,6790,,million cubic metres
United Republic of Tanzania,2015,0,,million cubic metres
United Republic of Tanzania,2014,0,,million cubic metres
United Republic of Tanzania,2013,0,,million cubic metres
United Republic of Tanzania,2012,0,,million cubic metres
Venezuela (Bolivarian Republic of),2009,444732,15,million cubic metres
Venezuela (Bolivarian Republic of),2008,444732,15,million cubic metres
Venezuela (Bolivarian Republic of),2007,444732,15,million cubic metres
Venezuela (Bolivarian Republic of),2006,444732,15,million cubic metres
Venezuela (Bolivarian Republic of),2005,444732,15,million cubic metres
Venezuela (Bolivarian Republic of),2004,444732,15,million cubic metres
Venezuela (Bolivarian Republic of),2003,444732,15,million cubic metres
Venezuela (Bolivarian Republic of),2002,444732,15,million cubic metres
Venezuela (Bolivarian Republic of),2001,444732,15,million cubic metres
Venezuela (Bolivarian Republic of),2000,444732,15,million cubic metres
Venezuela (Bolivarian Republic of),1995,444732,15,million cubic metres
Venezuela (Bolivarian Republic of),1990,444732,15,million cubic metres
Yemen,2015,0,,million cubic metres
Yemen,2014,0,,million cubic metres
Yemen,2013,0,,million cubic metres
Yemen,2012,0,,million cubic metres
Yemen,2011,0,,million cubic metres
Yemen,2010,0,,million cubic metres
Yemen,2009,0,,million cubic metres
Yemen,2008,0,,million cubic metres
Yemen,2007,0,,million cubic metres
Yemen,2006,0,,million cubic metres
Yemen,2005,0,,million cubic metres
Yemen,2004,0,,million cubic metres
Yemen,2003,0,,million cubic metres
Yemen,2002,0,,million cubic metres
Yemen,2001,0,,million cubic metres
Yemen,2000,0,,million cubic metres
Yemen,1999,0,,million cubic metres
Yemen,1998,0,,million cubic metres
Yemen,1997,0,,million cubic metres
Yemen,1996,0,,million cubic metres
Yemen,1995,0,,million cubic metres
Yemen,1990,0,,million cubic metres
